Model,Accuracy,Macro F1,Weighted F1
Random Forest,0.9712670748940179,0.9679354745958807,0.9712970952030919
SVM,0.959020254357042,0.9555427650962864,0.959173997079296
KNN,0.9477154969382948,0.945307790951832,0.9479942565742274
Logistic Regression,0.9759773904851625,0.9723241489729768,0.9759685575144803
MLP,0.9769194536033914,0.9720603372728762,0.9769284580296631
